author_id,doc_id,chunks (1500)
18,437,5757
26,1539,5757
72,540,5757
102,709,5757
45,1842,5757
1,1400,5757
106,2224,5757
90,1595,5757
26,2248,5757
20,380,5700
21,2140,5700
30,2098,5700
80,756,5700
3,244,5700
11,121,5700
67,1611,5700
116,1079,5700
28,1362,5700
52,936,5700
91,1161,5700
23,2211,5700
96,1525,5643
26,815,5643
35,46,5643
18,1015,5643
71,1431,5643
77,151,5643
56,811,5643
11,2172,5643
96,309,5643
44,1560,5586
106,674,5586
5,812,5586
18,1449,5586
18,1078,5586
4,233,5586
29,1495,5586
62,487,5586
21,1052,5586
91,2323,5529
56,547,5529
37,1682,5529
14,15,5529
119,793,5529
59,178,5529
59,2208,5529
7,969,5529
35,208,5529
21,1409,5472
40,215,5472
37,1674,5472
18,205,5472
44,365,5472
18,1322,5472
44,203,5472
6,1004,5472
58,1708,5472
37,1888,5472
3,3,5472
55,729,5472
7,7,5472
73,323,5472
112,1509,5472
2,786,5415
35,464,5415
11,972,5415
62,230,5415
45,186,5415
18,1876,5415
1,1031,5415
43,2355,5415
18,1117,5415
49,84,5415
111,742,5415
18,945,5415
40,59,5415
12,612,5415
37,1593,5415
37,1684,5415
106,662,5415
18,963,5415
24,2192,5415
28,915,5415
105,890,5358
21,1340,5358
18,1566,5358
22,679,5358
71,1391,5358
29,1918,5358
8,116,5358
57,829,5358
18,1613,5358
7,629,5301
44,2303,5301
2,176,5301
18,74,5301
57,1276,5301
21,1836,5301
18,243,5301
44,261,5301
75,1181,5301
18,1324,5301
89,1489,5244
114,1330,5244
31,349,5244
56,1085,5244
7,817,5244
78,1039,5244
29,1884,5187
91,1317,5187
7,573,5187
21,922,5187
18,1468,5187
18,45,5187
43,535,5187
4,1115,5187
1,408,5187
43,118,5187
31,2105,5187
4,1629,5130
86,1316,5130
28,2379,5130
18,831,5130
6,2133,5130
102,2011,5130
1,2124,5130
23,1693,5130
81,1273,5130
12,1053,5130
28,49,5130
27,68,5130
55,983,5130
52,1001,5130
85,1762,5073
84,1382,5073
5,2237,5073
43,1752,5073
30,1967,5073
51,947,5073
34,646,5073
95,837,5016
23,241,5016
23,394,5016
46,1949,5016
7,1889,5016
85,1726,5016
31,146,5016
89,2371,5016
22,1606,4959
93,1402,4959
43,1172,4959
59,497,4959
21,1975,4959
